Folio,Porcion Viaje,"Fecha Llegada 
(Mes/Dia/Año)",Fecha Partida (Mes/Dia/Año) ,"Pueblo, Municipio Partida",Estado/Departamento,País ,Latitude , Longitude,Elevation (meters),Tiempo Ubicacion,Metodo de Transporte (Tiempo en Transito),Paradas Interinas,Comentarios,Cargaba niños?,Grabacion,Iniciales Revisor,,,,,,
105,1,"originalmente de Punto Fijo, Venezuela",,Ureña,Tachirá,Venezuela,7.916318000,-72.443641000,332,,,,No hay fechas,,,DW,,,,,,
105,2,,,Cucutá,Norte de Santander,Colombia,7.898022000,-72.510000000,317,,,,,,,,,,,,,
105,3,,,Acandí,Chocó,Colombia,8.510121000,-77.278240000,9,1 noche,bus,,,,,,,,,,,
105,4,,,,Darién,Colombia/Panamá,,,,2 días,,,,,,,,,,,,
105,5,,,Bajo Chiquito,Emberá-Wounaan,Panamá,8.457533557,-77.678325723,45,,,,,,,,,,,,,
105,6,,,ONU Panamá,,Panamá,,,,,"lancha, bus",,,,,,,,,,,
105,7,,,,,froontera Panamá/Costa Rica,,,,,bus,,,,,,,,,,,
105,8,,,,,frontera Costa Rica/Nicaragua,,,,,bus,,,,,,,,,,,
105,9,,,,,frontera Nicaragua/Honduras,,,,,bus,,,,,,,,,,,
105,10,,,,,frontera Guatemala/Honduras,,,,,bus,,,,,,,,,,,
105,11,,,,,frontera México/Guatemala,,,,,bus,,14-16 h en cruzar Honduras,,,,,,,,,
105,12,,,Huixtla,Chiapas,Mexico,15.139851550,-92.471499620,33,1 día,,,,,,,,,,,,
105,13,,,Tuxtla,Chiapas,México,16.756710000,-93.122700000,535,,algún vehículo,,,,,,,,,,,
105,14,,,Oaxaca,Oaxaca,México,17.064089137,-96.724032756,1560,,bus,,,,,,,,,,,
105,15,,,Huehuetoca?,Estado de México,México,19.827243610,-99.199961530,2258,,,,,,,,,,,,,
105,16,,,El Basurero' estación de tren,,México,,,,,metro,,,,,,,,,,,
105,17,,,Huachinango?,,México,,,,,tren,,,,,,,,,,,
105,18,,,Torreón,Coahuila,México,25.541981320,-103.407303400,1128,1-2 noches,,CDMX,,,,,,,,,,
105,19,,,Saltillo,Coahuila,México,25.404099650,-101.024833500,1590,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
106,1,1/1/2000,2 de julio,Maracaibo,Zulia,Venzuela,10.637277000,-71.628905000,9,,,,,Viajó con un niño,,DW,,,,,,
106,2,,,Cucutá,Norte de Santander,Colombia,7.898022000,-72.510000000,317,,,,,,,,,,,,,
106,3,,,Montería,Córdoba,Colombia,8.748928000,-75.882455000,15,,,,,,,,,,,,,
106,4,,,Necoclí,Antioquia,Colombia,8.424064000,8.748928000,5,1 noche,,,,,,,,,,,,
106,5,,,,Darién,Colombia/Panamá,,,,2 días y medio,,,,,,,,,,,,
106,6,,,ONU Panamá,,Panamá,,,,2 días,,,,,,,,,,,,
106,7,,,David?,Chiriquí,Panamá,8.401502236,-82.443805940,17,1 noche,,,,,,,,,,,,
106,8,,,,,Frontera Costa Rica/Panamá,,,,,,,,,,,,,,,,
106,9,,,,,Frontera Nicaragua/Costa Rica,,,,horas,,,,,,,,,,,,
106,10,,,Somoto?,Madriz,Nicaragua,13.480280000,-87.000000000,710,1 noche,,,,,,,,,,,,
106,11,,,,,Frontera Nicaragua/Honduras,,,,,,,,,,,,,,,,
106,12,,,,,Frontera Honduras/Guatemala,,,,2h,,,,,,,,,,,,
106,13,,,Cd Guatemala?,Guatemala,Guatemala,14.621550000,-90.517300000,1495,1 día,,,,,,,,,,,,
106,14,16-17 de julio,,,,Frontera Guatemala/México,,,,,,,,,,,,,,,,
106,15,,,Tapachula,Chiapas,México,14.909851290,-92.260796590,158,,,,,,,,,,,,,
106,16,,,Arriaga,Chiapas,México,16.233450000,-93.910200000,47,horas,8h en bus,,,,,,,,,,,
106,17,,,Juchitán,Oaxaca,México,16.441060000,-95.021700000,22,5 días,,,,,,,,,,,,
106,18,,,CDMX,Estado de Mexico,México,19.368640000,-99.132600000,2239,horas,horas,,,,,,,,,,,
106,19,,,Monterrey,Nuevo Leon,México,25.706230000,-100.321000000,569,horas,horas,,,,,,,,,,,
106,20,23 de julio,,Saltillo,Coahuila,México,25.404100000,-101.025000000,1590,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
107,1,1/1/2000,6/20/2023,Tegucigalpa,Francisco Morazán,Honduras,14.065252560,-87.210470400,977,,,,,,,,,,,,,
107,2,6/20/2023,6/20/2023,San Pedro Sula,Cortés,Honduras,15.504970000,-88.023900000,90,,Bus,,,,,,,,,,,
107,3,6/21/2023,6/22/2023,Aguas Calientes?,,Guatemala,,,,2 dias,Bus,,"Dice que en la frontera Guatemala - Chiapas, pero no encuentro, se quedo en la calle",,,,,,,,,
107,4,6/22/2023,6/24/2023,Tapachula,Chiapas,Mexico,14.897880590,-92.248301930,158,2 dias,Caminando + Lancha,,,,,,,,,,,
107,5,,,CDMX,Mexico,Mexico,19.427520000,-99.139000000,2239,1 semana,Caminando,,Llego a una casa de migrante pero estaba muy llena y se tuvo que quedar afuera,,,,,,,,,
107,6,,,Ixtepec,Oaxaca,México,16.558967000,-95.096686000,63,3 dias,Bus + Caminando,, Parece que tomo un bus que los llevo al sur y luego la bajaron cerca de Ixtepec,,,,,,,,,
107,7,,,Oaxaca,Oaxaca,México,17.068995000,-96.732456000,1570,,,,,,,,,,,,,
107,8,,,San Luis Potosi,SLP,Mexico,22.161180000,-100.977000000,1870,,,,Otra vez llego a un albergue y no la dejaron entrar,,,,,,,,,
107,9,7/23/2023,,Saltillo,Coahuila,Mexico,25.424950000,-101.000000000,1590,Tren (24 hrs) + Caminando,,,Los bajo inmigracion del tren,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
108,1,1/1/2000,8/7/2023,Ciudad de Guatemala,Guatemala,Guatemala,14.621554770,-90.517284220,1495,,,,,No vino con niños,,,,,,,,
108,2,,,"Gregorio Mendez Magaña, antes de palenque, aun Chiapas; la zona 38, puede no existir,es lo que medio de guatemala, tomano como refenecia que salio casi de frente a Palanque.",Zona 38,,,,,,,,,,N,"DW, MP",,,,,,
108,3,8/9/2023,,Chamela /CHANCALA,Jalisco/CHIAPAS,Mexico,19.528570000,-105.070000000,,1 noche,,,,,,,,,,,,
108,4,8/11/2023,,Tuxtla,Chiapas,Mexico,16.756710000,-93.122700000,535,1 noche y medio día,,,,,,,,,,,,
108,5,8/12/2023,8/13/2023,Isla Amelia,Tiempo en Ubicacion ,EE.UU.,30.628360000,-81.453000000,,1 noche,,Coahuila; Texas,,,,,,,,,,
108,6,8/14/2023,8/15/2023,Tehuantepec /TAPANATEPEC,Oaxaca,Mexico,16.322280000,-95.242700000,,"1 noche, 1 dia",,"Santa Morena, Hidalgo; Tequisistlán y San Mateo Rio Hondo (Oaxaca)",,,,,,,,,,
108,7,08/16-17/2023,,CDMX,Mexico,Mexico,19.427520000,-99.139000000,2239,10 horas,Autobus,,,,,,,,,,,
108,8,8/17/2023,,San Luis Potosi,SLP,Mexico,22.161180000,-100.977000000,1870,,"Autobus, taxi",,a la casa del migrante,,,,,,,,,
108,9,19-09-23,,Saltillo,Coahuila,Mexico,25.424950000,-101.000000000,1590,,Tren La Bestia,,1 mes de estancia,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
109,1,1/1/2000,,,,Honduras,,,,,,,,No viajo con ninos,,"DW, MP",,,,,,
109,2,08/10-11/2023,,Palenque,Chiapas,Mexico,17.510060148,-91.993599781,65,,,,,,,,,,,,,
109,3,,,Tenosique,Tabasco,Mexico,17.470926447,-91.425793833,28,,,,,,,,,,,,,
109,4,,,Tenosique,Tabasco,Mexico,17.470926447,-91.425793833,28,3-4 dias,,,,,,,,,,,,
109,5,8/14/2023,8/16-18/2023,CDMX,Mexico,Mexico,19.427520000,-99.139000000,2239,2-3 dias,Tren,,estancia de 5 dias,,,,,,,,,
109,6,08/19-20/2023,,Puebla,Puebla,Mexico,19.038027378,-98.202552131,2145,,,,estancia de 2 dias,,,,,,,,,
109,7,08/24-26/2023,,Leon,Guanajuato,Mexico,21.121765467,-101.686436911,1804,,,,estancia de 3 dias,,,,,,,,,
109,8,08/26-27/2023,,Aguascalientes,Aguascalientes,Mexico,21.883899798,-102.291121612,1875,,Autobus,,,,,,,,,,,
109,9,08/30-31/2023,,Loreto,Zacatecas,Mexico,22.270872454,-101.988757610,2032,,,,estancia de 8-10 dias,,,,,,,,,
109,10,09/08-09/2023,,Pinos,Zacatecas,Mexico,22.297779757,-101.574735809,2464,4 dias,,,,,,,,,,,,
109,11,09/11-12/2023,,San Luis Potosi,SLP,Mexico,22.161180000,-100.977000000,1870,,,,1 semana en albergue,,,,,,,,,
109,12,9/19/2023,,Saltillo,Coahuila,Mexico,25.424950000,-101.000000000,1590,,Tren,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
110,1,1/1/2000,8/20/2023,,,Honduras,14.082970790,-87.205042880,935,,,,No especifico de que parte de Honduras salio,No viajo con ninos. Solo.,,"DW, AM, MP",,,,,,
110,2,8/22/2023,8/23/2023,Tapachula,Chiapas,Mexico,14.897880590,-92.248301930,158,1 noche,,,Tuvo cita en COMAR el 23,,,,,,,,,
110,3,8/23/2023,8/23/2023,Huixtla,Chiapas,Mexico,15.139851550,-92.471499620,33,,Autobus,,,,,,,,,,,
110,4,8/24/2023,8/24/2023,Tuxtla,Chiapas,Mexico,16.744533880,-93.108430120,535,,,,,,,,,,,,,
110,5,8/25/2023,8/26/2023,Coatzacoalcos,Veracruz,Mexico,18.146290170,-94.435223670,27,1 noche (en casa de migrante),,,,,,,,,,,,
110,6,8/27/2023,8/27/2023,Sayula de Aleman,Veracruz,Mexico,17.882557019,-94.961069884,91,,Caminando,,se regreso a Acayucan buscando autobus,,, ,,,,,,
110,7,8/27/2023,8/27/2023,Acayucan,Veracruz,Mexico,17.950191310,-94.924767920,83,,,,No le alcanzo dinero entonces se regreso a Sayula,,,,,,,,,
110,8,8/27/2023,8/27/2023,Sayula de Aleman,Veracruz,Mexico,17.882557019,-94.961069884,91,,Autobuses (como 3),,,,,,,,,,,
110,9,8/28/2023,8/29/2023,Tierra Blanca,Veracruz,Mexico,18.451864870,-96.358866000,71,1 noche (Casa de Migrante),,,,,,,,,,,,
110,10,8/29/2023,8/29/2023,Córdoba,Veracruz,Mexico,18.878317170,-96.924834270,825,,,,ONU,,,,,,,,,
110,11,8/29/2023,8/29/2023,Orizaba,Veracruz,Mexico,18.854518360,-97.102659420,1249,,Autobus + Combi,,como a una hora de Costa Rica,,,,,,,,,
110,12,8/29/2023,8/30/2023,Esperanza,Puebla,Mexico,18.860514279,-97.375836363,2245,1 noche,Combi,,,,,,,,,,,
110,13,8/30/2023,8/31/2023,Puebla,Puebla,Mexico,19.050890421,-98.234182958,2145,,,,,,,,,,,,,
110,14,8/31/2023,9/1/2023,CDMX,Estado de Mexico,Mexico,19.394545500,-99.115821210,2239,1 noche,Autobus,,"Ahi en CDMX se fue en taxi a la ""central norteña"", me imagino se refiere a la Central de autobuses del norte, ahi paso la noche",,,,,,,,,
110,15,9/2/2023,9/2/2023,Queretaro,Queretaro,Mexico,20.567063550,-100.387171000,1882,,Taxi + Autobus,,,,,,,,,,,
110,16,9/3/2023,9/3/2023,San Luis Potosi,San Luis Potosi,Mexico,22.168753080,-100.976702800,1870,,Autobus,,,,,,,,,,,
